datetime,PM2_5,PM10,NOx,CO,SO2,Ozone,NOx_SubIndex,SO2_SubIndex,AQI_calculated,PM2_5_24_avg,CO_8_avg_avg,PM2_5_24_avg_Sub_Index,CO_8_avg_Sub_Index,AQI_Bucket,station
2023-02-25,35.77454861111111,85.88274305555555,72.67557777777778,1003.5416666666666,12.551122685185184,22.963148148148147,86.47222222222223,15.48611111111111,97.875,34.74371238425926,992.3972800925926,59.333333333333336,49.68055555555556,Satisfactory,alandur
2023-02-26,34.773715277777775,90.79619212962963,74.10968703703703,1082.6273148148148,12.846458333333333,23.336377314814815,86.16666666666667,15.88888888888889,109.625,35.5959375,1087.1831597222222,65.68055555555556,54.31944444444444,Satisfactory,alandur
2023-02-27,32.592395833333335,94.68081018518518,57.9938875,1134.4328703703704,13.131608796296296,27.12201388888889,70.93055555555556,16.208333333333332,89.625,33.62973379629629,1110.8260995370372,61.013888888888886,55.611111111111114,Moderate,alandur
2023-02-28,33.58751157407407,89.92898148148147,49.77330462962963,983.0787037037038,13.175729166666665,27.29693287037037,61.513888888888886,16.291666666666668,82.13888888888889,31.43268325617284,1010.9780092592594,55.736111111111114,50.5,Moderate,alandur
2023-03-01,30.059259259259264,81.41645833333332,47.850569444444446,973.0439814814815,13.53304398148148,36.15229166666667,58.77777777777778,16.680555555555557,79.95833333333333,31.71903983410494,983.4215856481483,56.44444444444444,49.125,Moderate,alandur
2023-03-02,44.7819212962963,97.82273148148148,61.009416203703694,1009.3402777777778,13.23736111111111,36.53981481481482,74.09722222222223,16.305555555555557,93.38888888888889,36.420336612654324,992.4537037037036,67.27777777777777,49.666666666666664,Moderate,alandur
2023-03-03,51.95484953703704,117.06927083333335,76.6719486111111,945.9375,12.491122685185184,29.444224537037037,91.29166666666667,15.416666666666666,111.01388888888889,50.92980034722222,957.7358217592594,100.09722222222223,47.833333333333336,Satisfactory,alandur
2023-03-04,55.977858796296296,121.38800925925926,77.17480509259259,990.4050925925926,13.376423611111111,27.335798611111112,91.65277777777777,16.48611111111111,121.29166666666667,55.12113088348766,966.1183449074074,111.81944444444444,48.25,Satisfactory,alandur
2023-03-05,40.76091435185185,91.78383101851851,71.14185462962962,899.0972222222222,12.62273148148148,25.629583333333333,84.625,15.48611111111111,97.97222222222223,46.450258487654324,923.4215856481483,87.52777777777777,46.166666666666664,Satisfactory,alandur
2023-03-06,39.15378472222223,86.669375,59.772706944444444,816.724537037037,14.091608796296295,22.31851851851852,72.625,17.333333333333332,86.31944444444444,40.100833333333334,833.7008101851852,71.58333333333333,41.68055555555556,Moderate,alandur
