Datetime,AQI
2022-11-16,147.0
2022-11-17,180.0
2022-11-18,214.0
2022-11-19,153.0
2022-11-20,116.0
2022-11-21,106.0
2022-11-22,94.0
2022-11-23,90.0
2022-11-24,113.0
2022-11-25,119.0
2022-11-26,95.0
2022-11-27,109.0
2022-11-28,126.0
2022-11-29,170.0
2022-11-30,157.0
2022-12-01,151.0
2022-12-02,100.0
2022-12-03,78.0
2022-12-04,71.0
2022-12-05,122.0
2022-12-06,193.0
2022-12-07,229.0
2022-12-08,209.0
2022-12-09,134.0
2022-12-10,75.0
2022-12-11,89.0
2022-12-12,103.0
2022-12-13,108.0
2022-12-14,108.0
2022-12-15,102.0
2022-12-16,106.0
2022-12-17,124.0
2022-12-18,138.0
2022-12-19,98.0
2022-12-20,117.0
2022-12-21,119.0
2022-12-22,126.0
2022-12-23,170.0
2022-12-24,189.0
2022-12-25,97.0
2022-12-26,66.0
2022-12-27,83.0
2022-12-28,108.0
2022-12-29,106.0
2022-12-30,94.0
2022-12-31,99.0
2023-01-01,127.0
2023-01-02,99.0
2023-01-03,105.0
2023-01-04,118.0
2023-01-05,88.0
2023-01-06,105.0
2023-01-07,113.0
2023-01-08,160.0
2023-01-09,144.0
2023-01-10,129.0
2023-01-11,126.0
2023-01-12,117.0
2023-01-13,122.0
2023-01-14,212.0
2023-01-15,133.0
2023-01-16,87.0
2023-01-17,83.0
2023-01-18,108.0
2023-01-19,113.0
2023-01-20,128.0
2023-01-21,128.0
2023-01-22,113.0
2023-01-23,106.0
2023-01-24,88.0
2023-01-25,107.0
2023-01-26,164.0
2023-01-27,143.0
2023-01-28,121.0
2023-01-29,131.0
2023-01-30,100.0
2023-01-31,96.0
2023-02-01,110.0
2023-02-02,88.0
2023-02-03,104.0
2023-02-04,106.0
2023-02-05,130.0
2023-02-06,110.0
2023-02-07,102.0
2023-02-08,104.0
2023-02-09,110.0
2023-02-10,109.0
2023-02-11,113.0
2023-02-12,150.0
2023-02-13,152.0
2023-02-14,133.0
2023-02-15,118.0
2023-02-16,125.0
2023-02-17,143.0
2023-02-18,146.0
2023-02-19,109.0
2023-02-20,98.0
2023-02-21,109.0
2023-02-22,105.0
2023-02-23,114.0
2023-02-24,89.0
2023-02-25,97.0
2023-02-26,109.0
2023-02-27,89.0
2023-02-28,82.0
2023-03-01,79.0
2023-03-02,93.0
2023-03-03,111.0
2023-03-04,121.0
2023-03-05,97.0
2023-03-06,86.0
2023-03-07,82.0
2023-03-08,75.0
2023-03-09,81.0
2023-03-10,86.0
2023-03-11,105.0
2023-03-12,87.0
2023-03-13,80.0
2023-03-14,90.0
2023-03-15,109.0
2023-03-16,89.0
2023-03-17,79.0
2023-03-18,69.0
2023-03-19,65.0
2023-03-20,68.0
2023-03-21,68.0
2023-03-22,65.0
2023-03-23,71.0
2023-03-24,77.0
2023-03-25,60.0
2023-03-26,59.0
2023-03-27,61.0
2023-03-28,73.0
2023-03-29,75.0
2023-03-30,87.0
2023-03-31,92.0
2023-04-01,125.0
2023-04-02,90.0
2023-04-03,91.0
2023-04-04,82.0
2023-04-05,74.0
2023-04-06,77.0
2023-04-07,85.0
2023-04-08,100.0
2023-04-09,101.0
2023-04-10,97.0
2023-04-11,109.0
2023-04-12,125.0
2023-04-13,122.0
2023-04-14,115.0
2023-04-15,101.0
2023-04-16,90.0
2023-04-17,101.0
2023-04-18,97.0
2023-04-19,108.0
2023-04-20,99.0
2023-04-21,86.0
2023-04-22,90.0
2023-04-23,84.0
2023-04-24,97.0
2023-04-25,92.0
2023-04-26,105.0
2023-04-27,109.0
2023-04-28,113.0
2023-04-29,92.0
2023-04-30,90.0
2023-05-01,96.0
2023-05-02,101.0
2023-05-03,132.0
2023-05-04,122.0
2023-05-05,112.0
2023-05-06,127.0
2023-05-07,115.0
2023-05-08,119.0
2023-05-09,115.0
2023-05-10,107.0
2023-05-11,105.0
2023-05-12,161.0
2023-05-13,119.0
2023-05-14,130.0
2023-05-15,121.0
2023-05-16,113.0
2023-05-17,121.0
2023-05-18,84.0
2023-05-19,183.0
2023-05-20,112.0
2023-05-21,97.0
2023-05-22,87.0
2023-05-23,82.0
2023-05-24,101.0
2023-05-25,104.0
2023-05-26,103.0
2023-05-27,144.0
2023-05-28,93.0
2023-05-29,84.0
2023-05-30,92.0
2023-05-31,101.0
2023-06-01,111.0
2023-06-02,145.0
2023-06-03,123.0
2023-06-04,117.0
2023-06-05,121.0
2023-06-06,124.0
2023-06-07,90.0
2023-06-08,94.0
2023-06-09,94.0
2023-06-10,114.0
2023-06-11,91.0
2023-06-12,91.0
2023-06-13,108.0
2023-06-14,102.0
2023-06-15,102.0
2023-06-16,126.0
2023-06-17,92.0
2023-06-18,85.0
2023-06-19,124.0
2023-06-20,110.0
2023-06-21,88.0
2023-06-22,101.0
2023-06-23,106.0
2023-06-24,110.0
2023-06-25,94.0
2023-06-26,91.0
2023-06-27,85.0
2023-06-28,88.0
2023-06-29,119.0
2023-06-30,95.0
2023-07-01,90.0
2023-07-02,84.0
2023-07-03,82.0
2023-07-04,91.0
2023-07-05,100.0
2023-07-06,94.0
2023-07-07,123.0
2023-07-08,103.0
2023-07-09,86.0
2023-07-10,89.0
2023-07-11,98.0
2023-07-12,101.0
2023-07-13,149.0
2023-07-14,130.0
2023-07-15,137.0
2023-07-16,120.0
2023-07-17,121.0
2023-07-18,134.0
2023-07-19,146.0
2023-07-20,143.0
2023-07-21,130.0
2023-07-22,115.0
2023-07-23,97.0
2023-07-24,123.0
2023-07-25,137.0
2023-07-26,113.0
2023-07-27,103.0
2023-07-28,153.0
2023-07-29,124.0
2023-07-30,93.0
2023-07-31,98.0
2023-08-01,120.0
2023-08-02,127.0
2023-08-03,106.0
2023-08-04,95.0
2023-08-05,92.0
2023-08-06,82.0
2023-08-07,75.0
2023-08-08,75.0
2023-08-09,95.0
2023-08-10,99.0
2023-08-11,81.0
2023-08-12,94.0
2023-08-13,96.0
2023-08-14,83.0
2023-08-15,88.0
2023-08-16,86.0
2023-08-17,87.0
2023-08-18,83.0
2023-08-19,81.0
2023-08-20,97.0
2023-08-21,75.0
2023-08-22,94.0
2023-08-23,104.0
2023-08-24,103.0
2023-08-25,83.0
2023-08-26,80.0
2023-08-27,99.0
2023-08-28,90.0
2023-08-29,105.0
2023-08-30,115.0
2023-08-31,107.0
2023-09-01,95.0
2023-09-02,112.0
2023-09-03,89.0
2023-09-04,117.0
2023-09-05,123.0
2023-09-06,87.0
2023-09-07,112.0
2023-09-08,89.0
2023-09-09,98.0
2023-09-10,108.0
2023-09-11,97.0
2023-09-12,92.0
2023-09-13,107.0
2023-09-14,112.0
2023-09-15,106.0
2023-09-16,97.0
2023-09-17,90.0
2023-09-18,89.0
2023-09-19,101.0
2023-09-20,112.0
2023-09-21,129.0
2023-09-22,90.0
2023-09-23,85.0
2023-09-24,92.0
2023-09-25,108.0
2023-09-26,110.0
2023-09-27,138.0
2023-09-28,138.0
2023-09-29,130.0
2023-09-30,106.0
2023-10-01,115.0
2023-10-02,96.0
2023-10-03,114.0
2023-10-04,110.0
2023-10-05,106.0
2023-10-06,120.0
2023-10-07,93.0
2023-10-08,93.0
2023-10-09,88.0
2023-10-10,100.0
2023-10-11,115.0
2023-10-12,114.0
2023-10-13,121.0
2023-10-14,144.0
2023-10-15,128.0
2023-10-16,141.0
2023-10-17,136.0
2023-10-18,178.0
2023-10-19,189.0
2023-10-20,159.0
2023-10-21,147.0
2023-10-22,117.0
2023-10-23,150.0
2023-10-24,172.0
2023-10-25,169.0
2023-10-26,156.0
2023-10-27,149.0
2023-10-28,136.0
2023-10-29,127.0
2023-10-30,150.0
2023-10-31,173.0
2023-11-01,158.0
2023-11-02,142.0
2023-11-03,159.0
2023-11-04,145.0
2023-11-05,62.0
2023-11-06,77.0
2023-11-07,130.0
2023-11-08,93.0
2023-11-09,108.0
2023-11-10,118.0
2023-11-11,110.0
2023-11-12,197.0
2023-11-13,336.0
2023-11-14,150.0
2023-11-15,121.0
2023-11-16,137.0
2023-11-17,102.0
2023-11-18,97.0
2023-11-19,92.0
2023-11-20,87.0
2023-11-21,112.0
2023-11-22,109.0
2023-11-23,108.0
2023-11-24,96.0
2023-11-25,91.0
2023-11-26,97.0
2023-11-27,93.0
2023-11-28,74.0
2023-11-29,114.0
2023-11-30,92.0
2023-12-01,105.0
2023-12-02,82.0
2023-12-03,69.0
2023-12-04,95.0
2023-12-05,119.0
2023-12-06,125.0
2023-12-07,127.0
2023-12-08,125.0
2023-12-09,124.0
2023-12-10,121.0
2023-12-11,127.0
2023-12-12,123.0
2023-12-13,132.0
2023-12-14,111.0
2023-12-15,137.0
2023-12-16,96.0
2023-12-17,85.0
2023-12-18,72.0
2023-12-19,92.0
2023-12-20,98.0
2023-12-21,119.0
2023-12-22,138.0
2023-12-23,130.0
2023-12-24,110.0
2023-12-25,88.0
2023-12-26,104.0
2023-12-27,106.0
2023-12-28,89.0
2023-12-29,78.0
2023-12-30,101.0
2023-12-31,115.0
2024-01-01,125.0
2024-01-02,127.0
2024-01-03,144.0
2024-01-04,159.0
2024-01-05,114.0
2024-01-06,109.0
2024-01-07,108.0
2024-01-08,198.0
2024-01-09,115.0
2024-01-10,123.0
2024-01-11,149.0
2024-01-12,139.0
2024-01-13,164.0
2024-01-14,248.0
2024-01-15,233.0
2024-01-16,166.0
2024-01-17,137.0
2024-01-18,104.0
2024-01-19,119.0
2024-01-20,104.0
2024-01-21,112.0
2024-01-22,129.0
2024-01-23,199.0
2024-01-24,206.0
2024-01-25,207.0
2024-01-26,207.0
2024-01-27,189.0
2024-01-28,183.0
2024-01-29,198.0
2024-01-30,201.0
2024-01-31,193.0
2024-02-01,132.0
2024-02-02,106.0
2024-02-03,141.0
2024-02-04,152.0
2024-02-05,149.0
2024-02-06,134.0
2024-02-07,146.0
2024-02-08,123.0
2024-02-09,134.0
2024-02-10,129.0
2024-02-11,177.0
2024-02-12,136.0
2024-02-13,96.0
2024-02-14,90.0
2024-02-15,110.0
2024-02-16,118.0
2024-02-17,111.0
2024-02-18,99.0
2024-02-19,101.0
2024-02-20,104.0
2024-02-21,113.0
2024-02-22,100.0
2024-02-23,88.0
2024-02-24,93.0
2024-02-25,91.0
2024-02-26,81.0
2024-02-27,97.0
2024-02-28,83.0
2024-02-29,93.0
2024-03-01,95.0
2024-03-02,119.0
2024-03-03,119.0
2024-03-04,86.0
2024-03-05,71.0
2024-03-06,84.0
2024-03-07,93.0
2024-03-08,90.0
2024-03-09,92.0
2024-03-10,94.0
2024-03-11,89.0
2024-03-12,90.0
2024-03-13,85.0
2024-03-14,101.0
2024-03-15,103.0
2024-03-16,89.0
2024-03-17,93.0
2024-03-18,99.0
2024-03-19,101.0
2024-03-20,100.0
2024-03-21,94.0
2024-03-22,104.0
2024-03-23,99.0
2024-03-24,88.0
2024-03-25,93.0
2024-03-26,93.0
2024-03-27,94.0
2024-03-28,90.0
2024-03-29,90.0
2024-03-30,91.0
2024-03-31,98.0
2024-04-01,91.0
2024-04-02,94.0
2024-04-03,96.0
2024-04-04,101.0
2024-04-05,95.0
2024-04-06,88.0
2024-04-07,91.0
2024-04-08,89.0
2024-04-09,94.0
2024-04-10,95.0
2024-04-11,91.0
2024-04-12,92.0
2024-04-13,96.0
2024-04-14,92.0
2024-04-15,81.0
2024-04-16,90.0
2024-04-17,83.0
2024-04-18,87.0
2024-04-19,87.0
