AQI,station,datetime
53,"Manali Village, Chennai, Chennai, India",2025-04-06 03:00:00
70,"Manali Village, Chennai, Chennai, India",2025-04-06 04:00:00
119,"Manali Village, Chennai, Chennai, India",2025-04-06 07:00:00
107,"Manali Village, Chennai, Chennai, India",2025-04-06 08:00:00
63,"Manali Village, Chennai, Chennai, India",2025-04-06 09:00:00
22,"Manali Village, Chennai, Chennai, India",2025-04-06 10:00:00
13,"Manali Village, Chennai, Chennai, India",2025-04-06 11:00:00
14,"Manali Village, Chennai, Chennai, India",2025-04-06 12:00:00
16,"Manali Village, Chennai, Chennai, India",2025-04-06 13:00:00
15,"Manali Village, Chennai, Chennai, India",2025-04-06 14:00:00
13,"Manali Village, Chennai, Chennai, India",2025-04-06 15:00:00
13,"Manali Village, Chennai, Chennai, India",2025-04-06 16:00:00
